level	tr	yomi	sen
	Good morning. Hello.		Guten Morgen
	Good bye.		Auf Wiedersehen.
	Good night.		Gute Nacht.
	Good evening.		Guten Abend.
	Thank you.		Danke schön.
	Excuse me.		Verzeihung.
	I'm sorry.		Es tut mir Leid.
	Thank you very much.		Vielen Dank.
	I like eggs.		Ich mag Eier.
	I'm Sophia.		Ich bin Sophia.
	I'm German.		Ich bin Deutscher.
	Water, please.		Wasser, bitte.
	I like dogs.		Ich mag Hunde.
	I like cats.		Ich mag Katzen.
